series,"10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025","04-2025","05-2025","06-2025","07-2025","08-2025","09-2025","10-2025"
United States Offenses,1209,999,719,847,739,1076,1215,1281,1370,1120,1162,1160,1161,955,963,882,1077,1104,1058,1426,1406,1308,1190,1222,1223,1056,983,1000,980,1082,1099,1185,1293,1095,1159,1139,1555,1488,1224,967,1021,1108,1196,1303,1383,1222,1118,1226,1302,1105,934,919,869,1058,1081,1191,1215,988,888,625,66
United States Incidents,958,751,619,733,632,925,1028,1088,1128,968,960,970,1014,826,799,739,930,967,919,1189,1198,1089,1017,1030,1042,915,867,838,823,921,950,1000,1078,925,961,985,1326,1270,1062,823,873,959,1017,1114,1171,1026,948,1059,1123,944,814,783,758,921,912,963,997,815,752,535,55
